sequence,temp_c,humidity_pct
0,27.90,54.40
1,27.90,54.50
2,27.90,54.70
3,27.90,54.80
4,27.90,54.80
5,27.90,54.70
6,27.90,54.60
7,27.90,54.50
8,27.90,54.40
9,27.90,54.40
10,27.90,54.40
11,27.90,54.50
12,27.90,54.40
13,27.90,54.40
14,27.90,54.50
15,27.90,54.50
16,27.80,54.50
17,27.90,54.50
18,27.80,54.60
19,27.90,54.50
20,27.80,54.40
21,27.80,54.50
22,27.80,54.60
23,27.90,54.70
24,27.80,54.60
25,27.90,54.60
26,27.80,54.60
27,27.80,54.50
28,27.80,54.60
29,27.90,54.60
30,27.80,54.60
31,27.80,54.60
32,27.80,54.80
33,27.80,54.70
34,27.80,54.70
35,27.90,54.60
36,27.80,54.50
37,27.80,54.40
38,27.80,54.60
39,27.80,54.60
40,27.80,54.50
41,27.90,54.50
42,27.80,54.50
43,27.90,54.50
44,27.80,54.50
45,27.90,54.50
46,27.80,54.30
47,27.80,54.20
48,27.80,54.30
49,27.80,54.40
50,27.80,54.30
51,27.80,54.30
52,27.80,54.30
53,27.80,54.30
54,27.80,54.20
55,27.80,54.30
56,27.80,54.40
57,27.80,54.40
58,27.80,54.40
59,27.80,54.30
60,27.80,54.30
61,27.80,54.30
62,27.80,54.40
63,27.80,54.40
64,27.80,54.40
65,27.80,54.30
66,27.80,54.30
67,27.80,54.40
68,27.80,54.50
69,27.80,54.60
70,27.80,54.50
71,27.80,54.50
72,27.80,54.40
73,27.80,54.40
74,27.80,54.50
75,27.80,54.60
76,27.90,54.50
77,27.90,54.40
78,27.90,54.40
79,27.90,54.40
80,27.90,54.40
81,27.90,54.50
82,27.90,54.50
83,27.90,54.40
84,27.90,54.40
85,27.90,54.30
86,27.90,54.30
87,27.90,54.10
88,27.90,54.10
89,27.90,54.10
90,28.00,54.00
91,27.90,53.90
92,27.90,53.90
93,28.00,53.90
94,27.90,54.10
95,27.90,54.10
96,28.00,54.10
97,27.90,54.00
98,27.90,54.00
99,27.90,54.00
100,27.90,53.90
101,27.90,53.90
102,28.00,53.90
103,27.90,53.90
104,27.90,53.90
105,27.90,53.90
106,27.90,53.90
107,27.90,53.90
108,27.90,53.90
109,27.90,53.90
110,27.90,54.00
111,27.90,53.90
112,27.90,53.90
113,27.90,53.90
114,27.80,54.00
115,27.80,54.00
116,27.90,54.00
117,27.80,54.00
118,27.80,54.10
119,27.80,54.20
120,27.80,54.20
121,27.90,54.30
122,27.90,54.30
123,27.80,54.30
124,27.80,54.30
125,27.80,54.20
